Animal,Symptom1,Symptom2,Symptom3,Symptom4,Disease
cat,weight loss,increased thirst,increased urination,dehydration,diabetes
dog,unable to jump up,difficulty exercising,limping,fatigue,arthritis
dog,diarrhea,dehydration,pot-bellied appearance,rough coat,roundworms
parrot,watery eyes,sneezing,fatigue,runny nose,aspergillosis
parrot,fluffed feathers,weakness,loss of appetite,vomiting,candidiasis
dog,infertility,inflammation in eye,inflection in reproductive organ,infection,brucellosis
cat,loss of appetite,enlarged lymph nodes,fever,weakness,plague
cat,abdominal pain,fever,loss of appetite,fatigue,plague
dog,back pain,diarrhea,loss of appetite,vomiting,spondylosis
parrot,runny nose,watery eyes,sneezing,fatigue,aspergillosis
cat,weakness,seizures,loss of appetite,paralysis,rabies
dog,inflammation in eye,inflection in reproductive organ,infertility,infection,brucellosis
cat,cough,sneezing,fever,runny nose,feline herpesvirus
cat,fever,loss of appetite,enlarged lymph nodes,fatigue,plague
cat,weight loss,diarrhea,increased urination,dry coat,kidney diesease
dog,diarrhea,fatigue,vomiting,dehydration,parvo
parrot,depression,cough,difficulty breathing,loss of appetite,E. coli
cat,dehydration,increased urination,weight loss,increased thirst,diabetes
parrot,runny nose,sneezing,watery eyes,fatigue,aspergillosis
cat,cough,runny nose,sneezing,fever,feline herpesvirus
dog,fatigue,unable to jump up,limping,difficulty exercising,arthritis
cat,paralysis,weakness,seizures,loss of appetite,rabies
dog,vomiting,diarrhea,back pain,loss of appetite,spondylosis
cat,paralysis,weakness,seizures,loss of appetite,rabies
dog,loss of appetite,weakness,difficulty breathing,fever,plague
cat,weight loss,diarrhea,increased urination,dry coat,kidney diesease
parrot,cough,sneezing,discharge,difficulty breathing,mycoplasma synoviae
parrot,runny nose,watery eyes,sneezing,fatigue,aspergillosis
dog,bleeding,vomiting,sleeplessness,motion sickness,vestibular disorder
dog,vomiting,pacing,dizziness,fatigue,cataracts
dog,weight loss,increased appetite,vomiting,hair loss,hot spots
cat,seizures,diarrhea,fever,infection,feline leukemia virus
cat,seizures,paralysis,weakness,loss of appetite,rabies
dog,vomiting,back pain,loss of appetite,diarrhea,spondylosis
dog,diarrhea,pot-bellied appearance,rough coat,dehydration,roundworms
dog,pain,limping,swelling,swelling,sprain
dog,diarrhea,dehydration,pot-bellied appearance,rough coat,roundworms
dog,vomiting,back pain,loss of appetite,diarrhea,spondylosis
dog,diarrhea,dehydration,pot-bellied appearance,rough coat,roundworms
dog,pacing,fatigue,dizziness,vomiting,cataracts
cat,seizures,infection,fever,diarrhea,feline leukemia virus
dog,dizziness,fatigue,pacing,vomiting,cataracts
dog,vomiting,motion sickness,bleeding,sleeplessness,vestibular disorder
parrot,diarrhea,weakness,discharge,vomiting,pacheco
dog,hair loss,vomiting,increased appetite,weight loss,hot spots
cat,seizures,infection,fever,diarrhea,feline leukemia virus
dog,fatigue,limping,difficulty exercising,unable to jump up,arthritis
dog,dizziness,pacing,vomiting,fatigue,cataracts
parrot,watery eyes,sneezing,fatigue,runny nose,aspergillosis
parrot,difficulty breathing,growth on body,weight loss,weakness,avian pox
dog,vomiting,back pain,loss of appetite,diarrhea,spondylosis
